Putative Entity,NHM Data Portal Link,Article DOI Link,Notes,_id,occurrenceID,catalogNumber,scientificName,typeStatus,locality,country,expedition,collectionCode,kingdom,phylum,class,order,family,genus,specificEpithet,higherClassification,lifeStage,sex,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries
NHMUK 40095,http://data.nhm.ac.uk/specimen/1f807b1b-db0d-40e0-95bf-97a3d546ca93,http://dx.doi.org/10.1371/journal.pone.0034094,,1298112,1f807b1b-db0d-40e0-95bf-97a3d546ca93,PV OR 40095,"Ichthyosaurus campylodon Carter, 1846",,Charmouth,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,campylodon,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Cretaceous,Early Cretaceous,Late Cretaceous
NHMUK 40095,http://data.nhm.ac.uk/specimen/1f807b1b-db0d-40e0-95bf-97a3d546ca93,http://dx.doi.org/10.1371/journal.pone.0062421,,1298112,1f807b1b-db0d-40e0-95bf-97a3d546ca93,PV OR 40095,"Ichthyosaurus campylodon Carter, 1846",,Charmouth,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,campylodon,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Cretaceous,Early Cretaceous,Late Cretaceous
BMNH 1978.6.15.6,http://data.nhm.ac.uk/specimen/020f6746-b128-4547-a3ce-9683217a17e0,http://dx.doi.org/10.1371/journal.pone.0079155,,2238144,020f6746-b128-4547-a3ce-9683217a17e0,1978.6.15.6,Protomicrocotyle mannarensis,,,,,ZOO,Animalia,Platyhelminthes,Monogenea,,Microcotylidae,Protomicrocotyle,mannarensis,Animalia; Platyhelminthes; Monogenea; Microcotylidae,,,,,
BMNH 2007.7.25.30-33,http://data.nhm.ac.uk/specimen/f21101cc-21e6-46ab-ab4c-ccce16664cc4,http://dx.doi.org/10.1371/journal.pone.0079155,,2674688,f21101cc-21e6-46ab-ab4c-ccce16664cc4,2007.7.25.30-33,"Protomicrocotyle mirabilis (MacCallum, 1917)",,,,,ZOO,,Platyhelminthes,Monogenea,,Microcotylidae,Protomicrocotyle,mirabilis,Platyhelminthes; Monogenea; Microcotylidae,,,,,
NHMUK 1987.1.18.41,http://data.nhm.ac.uk/specimen/21435955-bf83-45dc-bd74-6eac9aa0a5db,http://dx.doi.org/10.1371/journal.pone.0095296,Typo 1899.7.1.1841,2500209,21435955-bf83-45dc-bd74-6eac9aa0a5db,1987.1.18.41,"Scrupocellaria limatula Hayward, 1988",holotype,"reef flat, Tamarin, Mauritius.",Mauritius,,ZOO,,Bryozoa,Gymnolaemata,Cheilostomata,Candidae,Scrupocellaria,limatula,Bryozoa; Gymnolaemata; Cheilostomata; Candidae,,,,,
BMNH M 85302,http://data.nhm.ac.uk/specimen/21d1ba5f-4a15-49e9-81a7-6c2f788bdd0c,http://dx.doi.org/10.1371/journal.pone.0049054,,2447459,21d1ba5f-4a15-49e9-81a7-6c2f788bdd0c,PV M 85302,"Apterodon langebadreae Grohé et al., 2012",Holotype,Site 6819 (Dor el Talha); Site 68.19; Dor el Talha; Gebel Coquin; Dur at Talhah,Libya,,PAL,Animalia,Chordata,Mammalia,Creodonta,Hyaenodontidae,Apterodon,langebadreae,Animalia; Chordata; Vertebrata; Mammalia; Creodonta; Hyaenodontidae,,,Paleogene,Eocene,Oligocene
NHMUK 20130091/2-3,http://data.nhm.ac.uk/specimen/7f996e63-0d27-4c3f-a3ea-5ad9af3a7215,http://dx.doi.org/10.1371/journal.pone.0109785,,1387039,7f996e63-0d27-4c3f-a3ea-5ad9af3a7215,20130091,"Cyclophorus fulguratus var. var. Pfeiffer, 1869",POSSIBLE SYNTYPES,,Burma,,ZOO,Animalia,Mollusca,Gastropoda,,,Cyclophorus,fulguratus,Animalia; Mollusca; Gastropoda,,,,,
NHMUK 20130117/1,http://data.nhm.ac.uk/specimen/21e7e949-d9eb-4ede-9908-ef1ee7232205,http://dx.doi.org/10.1371/journal.pone.0109785,,2140922,21e7e949-d9eb-4ede-9908-ef1ee7232205,20130117,"Cyclostoma (Cyclophorus) fulguratum Pfeiffer, 1854",SYNTYPES,,,,ZOO,Animalia,Mollusca,Gastropoda,,,Cyclostoma,fulguratum,Animalia; Mollusca; Gastropoda,,,,,
NHMUK 20130117/2-3,http://data.nhm.ac.uk/specimen/21e7e949-d9eb-4ede-9908-ef1ee7232205,http://dx.doi.org/10.1371/journal.pone.0109785,,2140922,21e7e949-d9eb-4ede-9908-ef1ee7232205,20130117,"Cyclostoma (Cyclophorus) fulguratum Pfeiffer, 1854",SYNTYPES,,,,ZOO,Animalia,Mollusca,Gastropoda,,,Cyclostoma,fulguratum,Animalia; Mollusca; Gastropoda,,,,,
NHMUK 1968.1.18.110,http://data.nhm.ac.uk/specimen/22c09148-9d22-4295-8745-930ed137bbe4,http://dx.doi.org/10.1371/journal.pone.0095296,,1161191,22c09148-9d22-4295-8745-930ed137bbe4,1968.1.18.110,"Scrupocellaria californica Trask, 1857",,,United States of America,,ZOO,,Bryozoa,Gymnolaemata,Cheilostomatida,Candidae,Scrupocellaria,californica,Bryozoa; Gymnolaemata; Cheilostomatida; Candidae,,,,,
BMNH.76.3.15.14,http://data.nhm.ac.uk/specimen/22d207e8-861f-48e4-b073-e42780d099ec,http://dx.doi.org/10.1371/journal.pone.0061998,,1228108,22d207e8-861f-48e4-b073-e42780d099ec,1876.3.15.14,Pteropus rodricensis,,,,,ZOO,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,rodricensis,Animalia; Chordata; Vertebrata; Mammalia; Chiroptera; Pteropodidae; Pteropodinae,,,,,
NHMUK 1929.4.26.17,http://data.nhm.ac.uk/specimen/2367ae71-8aa3-45d2-b38c-dd0b098a834c,http://dx.doi.org/10.1371/journal.pone.0095296,,1829699,2367ae71-8aa3-45d2-b38c-dd0b098a834c,1929.4.26.17,"Scrupocellaria bertholletii Audouin, 1826",,Galapagos 1,Ecuador,,ZOO,,Bryozoa,Gymnolaemata,Cheilostomatida,,Scrupocellaria,bertholletii,Bryozoa; Gymnolaemata; Cheilostomatida,,,,,
NHMUK 35310,http://data.nhm.ac.uk/specimen/246d4850-8574-4997-a4a7-21c1211b6955,http://dx.doi.org/10.1371/journal.pone.0062421,,1510091,246d4850-8574-4997-a4a7-21c1211b6955,PV OR 35310,Ophthalmosaurus sp.,,,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ophthalmosauridae,Ophthalmosaurus,sp.,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Cretaceous,Early Cretaceous,Late Cretaceous
NHMUK R11185,http://data.nhm.ac.uk/specimen/26587666-b9eb-4485-8953-58ad69b1869c,http://dx.doi.org/10.1371/journal.pone.0031838,,743188,26587666-b9eb-4485-8953-58ad69b1869c,PV R 11185,Ophthalmosaurus sp.,,Filey,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ophthalmosauridae,Ophthalmosaurus,sp.,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Cretaceous,Early Cretaceous,Early Cretaceous
