Putative Entity,NHM Data Portal Link,Article DOI Link,Notes,_id,occurrenceID,catalogNumber,scientificName,typeStatus,locality,country,expedition,collectionCode,kingdom,phylum,class,order,family,genus,specificEpithet,higherClassification,lifeStage,sex,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries
NHMUK 28110,http://data.nhm.ac.uk/specimen/83c3e074-4395-4118-b50b-786a7e0153a1,http://dx.doi.org/10.1371/journal.pone.0034094,,464835,83c3e074-4395-4118-b50b-786a7e0153a1,PV OR 28110,"Ichthyosaurus campylodon Carter, 1846",,,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,campylodon,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Cretaceous,Early Cretaceous,Late Cretaceous
NHMUK 2022*[14549],http://data.nhm.ac.uk/specimen/84ae068c-ef49-47ac-baa9-e7edf4adc551,http://dx.doi.org/10.1371/journal.pone.0031838,,2130412,84ae068c-ef49-47ac-baa9-e7edf4adc551,PV OR 2022 *,"Thalassiodracon hawkinsi (Owen, 1838)",Cited,Street,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Plesiosauria,,Thalassiodracon,hawkinsi,Animalia; Chordata; Reptilia; Sauropterygia; Plesiosauria; Plesiosauroidea,,,Jurassic,Early Jurassic,Early Jurassic
NHMUK R1319,http://data.nhm.ac.uk/specimen/84b1d45f-f990-4a80-a940-52b146e7005e,http://dx.doi.org/10.1371/journal.pone.0031838,,1973014,84b1d45f-f990-4a80-a940-52b146e7005e,PV R 1319,"Eurycleidus arcuatus (Owen, 1840)",Lectotype,Street,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Plesiosauria,,Eurycleidus,arcuatus,Animalia; Chordata; Reptilia; Sauropterygia; Plesiosauria,,,Jurassic,Early Jurassic,Early Jurassic
BMNH 86.10.4.2,http://data.nhm.ac.uk/specimen/8559613e-f2a3-447c-aa1a-d476600d3293,http://dx.doi.org/10.1371/journal.pone.0053873,,850875,8559613e-f2a3-447c-aa1a-d476600d3293,1886.10.4.2,Caiman latirostris,,Rio Grande do Sul,Brazil,,ZOO,,,,,Alligatoridae,Caiman,latirostris,Alligatoridae,Adult,,,,
BMNH M 85323,http://data.nhm.ac.uk/specimen/38698d5e-69f3-4f5c-8bba-5543021aac44,http://dx.doi.org/10.1371/journal.pone.0049054,figured,256303,38698d5e-69f3-4f5c-8bba-5543021aac44,PV M 85323,"Apterodon langebadreae Grohé et al., 2012",Holotype,Site 6819 (Dor el Talha); Site 68.19; Dor el Talha; Gebel Coquin; Dur at Talhah,Libya,,PAL,Animalia,Chordata,Mammalia,Creodonta,Hyaenodontidae,Apterodon,langebadreae,Animalia; Chordata; Vertebrata; Mammalia; Creodonta; Hyaenodontidae,,,Paleogene,Eocene,Oligocene
BMNH 44897,http://data.nhm.ac.uk/specimen/786eb66e-aed1-469b-97a1-9af67fac887e,http://dx.doi.org/10.1371/journal.pone.0054307,PV OR 44897,22257,786eb66e-aed1-469b-97a1-9af67fac887e,PV OR 44897,"Prorastomus sirenoides Owen, 1855",Holotype,"Locality not recorded, but possibly",West Indies,,PAL,Animalia,Chordata,Mammalia,Sirenia,Prorastomidae,Prorastomus,sirenoides,Animalia; Chordata; Mammalia; Sirenia; Prorastomidae,,,,Eocene,
BMNH M 85320,http://data.nhm.ac.uk/specimen/5877de10-5327-4fcb-9fb4-51b807e97e62,http://dx.doi.org/10.1371/journal.pone.0049054,,348967,5877de10-5327-4fcb-9fb4-51b807e97e62,PV M 85320,"Apterodon langebadreae Grohé et al., 2012",Holotype,Site 6819 (Dor el Talha); Site 68.19; Dor el Talha; Gebel Coquin; Dur at Talhah,Libya,,PAL,Animalia,Chordata,Mammalia,Creodonta,Hyaenodontidae,Apterodon,langebadreae,Animalia; Chordata; Vertebrata; Mammalia; Creodonta; Hyaenodontidae,,,Paleogene,Eocene,Oligocene
BMNH 1935.6.4.1,http://data.nhm.ac.uk/specimen/87866b67-e4ae-415f-bac2-6cbb493c88ac,http://dx.doi.org/10.1371/journal.pone.0053873,,1912861,87866b67-e4ae-415f-bac2-6cbb493c88ac,1935.6.4.1,Gavialis gangeticus (Gmelin 1789),,"Ramganga River, Bareilly, U.P.",India,,ZOO,Animalia,,Reptilia,Crocodylia,Gavialidae,Gavialis,gangeticus,Animalia; Reptilia; Crocodylia; Gavialidae,,,,,
BMNH 1952.3.26.31–36,http://data.nhm.ac.uk/specimen/9879f73d-110f-444a-bba6-8bd3faaad304,http://dx.doi.org/10.1371/journal.pone.0037520,Arbacia lixula africana,588026,9879f73d-110f-444a-bba6-8bd3faaad304,1952.3.26.31-36,Arbacia lixula africana,,Gold Coast,,,ZOO,,Echinodermata,,,,Arbacia,lixula,Echinodermata,,,,,
BMNH M 85312,http://data.nhm.ac.uk/specimen/87bce8d5-1b40-46a2-9f9b-15f8bd7bddae,http://dx.doi.org/10.1371/journal.pone.0049054,,2668842,87bce8d5-1b40-46a2-9f9b-15f8bd7bddae,PV M 85312,"Apterodon langebadreae Grohé et al., 2012",Holotype,Site 6819 (Dor el Talha); Site 68.19; Dor el Talha; Gebel Coquin; Dur at Talhah,Libya,,PAL,Animalia,Chordata,Mammalia,Creodonta,Hyaenodontidae,Apterodon,langebadreae,Animalia; Chordata; Vertebrata; Mammalia; Creodonta; Hyaenodontidae,,,Paleogene,Eocene,Oligocene
NHMUK 43989,http://data.nhm.ac.uk/specimen/87e20eb7-26d6-4d24-a9f8-dfb57cfe3e54,http://dx.doi.org/10.1371/journal.pone.0084709,,1700484,87e20eb7-26d6-4d24-a9f8-dfb57cfe3e54,PV OR 43989,Ophthalmosaurus cantabrigiensis,Holotype,,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ophthalmosauridae,Ophthalmosaurus,cantabrigiensis,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Cretaceous,Early Cretaceous,Late Cretaceous
BMNH M 85321,http://data.nhm.ac.uk/specimen/28931039-5bcf-45ba-a531-415475515624,http://dx.doi.org/10.1371/journal.pone.0049054,,2369230,28931039-5bcf-45ba-a531-415475515624,PV M 85321,"Apterodon langebadreae Grohé et al., 2012",Holotype,Site 6819 (Dor el Talha); Site 68.19; Dor el Talha; Gebel Coquin; Dur at Talhah,Libya,,PAL,Animalia,Chordata,Mammalia,Creodonta,Hyaenodontidae,Apterodon,langebadreae,Animalia; Chordata; Vertebrata; Mammalia; Creodonta; Hyaenodontidae,,,Paleogene,Eocene,Oligocene
BMNH.1924.3.1.33,http://data.nhm.ac.uk/specimen/b89a8499-d2c6-4d6a-b891-23b2096ef7ed,http://dx.doi.org/10.1371/journal.pone.0061998,Trachops cirrhosus,747353,b89a8499-d2c6-4d6a-b891-23b2096ef7ed,1924.3.1.33,Trachops cirrhosus,,,,,ZOO,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Trachops,cirrhosus,Animalia; Chordata; Vertebrata; Mammalia; Chiroptera; Phyllostomidae; Phyllostominae,,female,,,
BMNH M 8880,http://data.nhm.ac.uk/specimen/a89d2901-e4c0-47cf-aef4-ce458ecb98f2,http://dx.doi.org/10.1371/journal.pone.0049054,,107998,a89d2901-e4c0-47cf-aef4-ce458ecb98f2,PV M 8880,,,,,,PAL,,,,,,,,,,,,,
NHMUK 1961.11.2.42,http://data.nhm.ac.uk/specimen/8a1d2f56-1eab-4e40-973b-8de9128cb4aa,http://dx.doi.org/10.1371/journal.pone.0095296,,1317025,8a1d2f56-1eab-4e40-973b-8de9128cb4aa,1961.11.2.42,"Scrupocellaria maderensis Busk, 1860",,,,,ZOO,,Bryozoa,Gymnolaemata,Cheilostomata,Candidae,Scrupocellaria,maderensis,Bryozoa; Gymnolaemata; Cheilostomata; Candidae,,,,,
NHMUK 1936.12.30.146,http://data.nhm.ac.uk/specimen/8cb99fc9-055e-4837-9bad-34202ae10001,http://dx.doi.org/10.1371/journal.pone.0095296,two entries,1038835,8cb99fc9-055e-4837-9bad-34202ae10001,1936.12.30.146,"Scrupocellaria gaspari Thornely, 1907",Part of Type,Gaspar Straits,Indonesia,,ZOO,,Bryozoa,Gymnolaemata,Cheilostomata,Candidae,Scrupocellaria,gaspari,Bryozoa; Gymnolaemata; Cheilostomata; Candidae,,,,,
NHMUK R36631,http://data.nhm.ac.uk/specimen/8e50ff5c-af43-4d70-a788-eabea7bbb21c,http://dx.doi.org/10.1371/journal.pone.0062421,,1628589,8e50ff5c-af43-4d70-a788-eabea7bbb21c,PV R 36631,Ankylosauridae,,"Mexico Ranch, Red Deer River",Canada,,PAL,Animalia,Chordata,Reptilia,Ornithischia,Ankylosauridae,,,Animalia; Chordata; Reptilia; Ornithischia; Ankylosauridae,,,Cretaceous,Late Cretaceous,Late Cretaceous
NHMUK R5161,http://data.nhm.ac.uk/specimen/9501c40e-9b45-4f49-b10b-3ee9654e88ed,http://dx.doi.org/10.1371/journal.pone.0062421,,409185,9501c40e-9b45-4f49-b10b-3ee9654e88ed,PV R 5161,"Euoplocephalus tutus (Lambe, 1902)",,,,,PAL,Animalia,Chordata,Reptilia,Ornithischia,Ankylosauridae,Euoplocephalus,tutus,Animalia; Chordata; Reptilia; Dinosauria; Ornithischia; Ankylosauridae,,,,,
BMNH.7.7.7.3359,http://data.nhm.ac.uk/specimen/97339171-a1d8-401b-8b8d-a153c18e3241,http://dx.doi.org/10.1371/journal.pone.0061998,,2698901,97339171-a1d8-401b-8b8d-a153c18e3241,1907.7.7.3359,Myotis lucifugus,,,,,ZOO,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,lucifugus,Animalia; Chordata; Vertebrata; Mammalia; Chiroptera; Vespertilionidae; Vespertilioninae,,female,,,
BMNH M 85313,http://data.nhm.ac.uk/specimen/499d8a9d-d4eb-40f8-b904-c199785cc5ff,http://dx.doi.org/10.1371/journal.pone.0049054,,287313,499d8a9d-d4eb-40f8-b904-c199785cc5ff,PV M 85313,"Apterodon langebadreae Grohé et al., 2012",Holotype,Site 6819 (Dor el Talha); Site 68.19; Dor el Talha; Gebel Coquin; Dur at Talhah,Libya,,PAL,Animalia,Chordata,Mammalia,Creodonta,Hyaenodontidae,Apterodon,langebadreae,Animalia; Chordata; Vertebrata; Mammalia; Creodonta; Hyaenodontidae,,,Paleogene,Eocene,Oligocene
NHMUK R1317,http://data.nhm.ac.uk/specimen/9baeaded-6f6e-444e-a3ab-4e2f76799df4,http://dx.doi.org/10.1371/journal.pone.0031838,,1052498,9baeaded-6f6e-444e-a3ab-4e2f76799df4,PV R 1317,"Eurycleidus arcuatus (Owen, 1840)",Lectotype,Street,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Plesiosauria,,Eurycleidus,arcuatus,Animalia; Chordata; Reptilia; Sauropterygia; Plesiosauria,,,Jurassic,Early Jurassic,Early Jurassic
BMNH M 85305,http://data.nhm.ac.uk/specimen/9bbb69f1-793d-4b32-97c2-356b7aebaa8b,http://dx.doi.org/10.1371/journal.pone.0049054,,1321745,9bbb69f1-793d-4b32-97c2-356b7aebaa8b,PV M 85305,"Apterodon langebadreae Grohé et al., 2012",Holotype,Site 6819 (Dor el Talha); Site 68.19; Dor el Talha; Gebel Coquin; Dur at Talhah,Libya,,PAL,Animalia,Chordata,Mammalia,Creodonta,Hyaenodontidae,Apterodon,langebadreae,Animalia; Chordata; Vertebrata; Mammalia; Creodonta; Hyaenodontidae,,,Paleogene,Eocene,Oligocene
BMNH 1998.410,http://data.nhm.ac.uk/specimen/9c283e2c-64f9-43bb-acb7-2b7ef7c52eb3,http://dx.doi.org/10.1371/journal.pone.0048145,,1341075,9c283e2c-64f9-43bb-acb7-2b7ef7c52eb3,ZD 1998.410,Laonastes aenigmamus,,,Lao People's Democratic Republic,,ZOO,,,,Rodentia,Laonastidae,Laonastes,aenigmamus,Rodentia; Laonastidae,young,Male,,,
BMNH M 85297,http://data.nhm.ac.uk/specimen/49c91ade-fe6e-48a5-8fce-97c168252552,http://dx.doi.org/10.1371/journal.pone.0049054,,963081,49c91ade-fe6e-48a5-8fce-97c168252552,PV M 85297,"Apterodon langebadreae Grohé et al., 2012",Holotype,Site 6819 (Dor el Talha); Site 68.19; Dor el Talha; Gebel Coquin; Dur at Talhah,Libya,,PAL,Animalia,Chordata,Mammalia,Creodonta,Hyaenodontidae,Apterodon,langebadreae,Animalia; Chordata; Vertebrata; Mammalia; Creodonta; Hyaenodontidae,,,Paleogene,Eocene,Oligocene
NHMUK 35323,http://data.nhm.ac.uk/specimen/9df19fcf-a4bc-4337-9039-0ac0ec72c9a1,http://dx.doi.org/10.1371/journal.pone.0062421,,1578261,9df19fcf-a4bc-4337-9039-0ac0ec72c9a1,PV OR 35323,Ichthyosaurus sp.,,Cambridge,British Isles,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,sp.,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Cretaceous,Early Cretaceous,Late Cretaceous
BMNH.76.3.15.14,http://data.nhm.ac.uk/specimen/69e97f52-0275-4a82-9fa6-cf1c3949f408,http://dx.doi.org/10.1371/journal.pone.0061998,"Pteropus rodricensis, has pics on portal",1441483,69e97f52-0275-4a82-9fa6-cf1c3949f408,1876.3.15.14,Pteropus rodricensis,,,,,ZOO,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,rodricensis,Animalia; Chordata; Vertebrata; Mammalia; Chiroptera; Pteropodidae; Pteropodinae,adult,male,,,
NHMUK R2348,http://data.nhm.ac.uk/specimen/a15ed47f-62aa-4f00-b9b9-8a7f9ca200bf,http://dx.doi.org/10.1371/journal.pone.0062421,,2469357,a15ed47f-62aa-4f00-b9b9-8a7f9ca200bf,PV R 2348,Ichthyosaurus sp.,,,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,sp.,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Cretaceous,Late Cretaceous,Late Cretaceous
NHMUK 1996.4.26.8,http://data.nhm.ac.uk/specimen/a2e191b6-2b98-4f4d-b53d-dc2b512603c4,http://dx.doi.org/10.1371/journal.pone.0095296,,5885,a2e191b6-2b98-4f4d-b53d-dc2b512603c4,1996.4.26.8,Scrupocellaria spatulata (d'Orbigny),,"Tamarin, reef front, Mauritius.",Mauritius,,ZOO,,Bryozoa,,,,Scrupocellaria,spatulata,Bryozoa,,,,,
BMNH 1998.25,http://data.nhm.ac.uk/specimen/a342c62a-b2de-4ec9-abb6-c319c10a3dda,http://dx.doi.org/10.1371/journal.pone.0048145,,2232156,a342c62a-b2de-4ec9-abb6-c319c10a3dda,ZD 1998.25,Laonastes aenigmamus,Paratype,,Lao People's Democratic Republic,,ZOO,,,,Rodentia,Laonastidae,Laonastes,aenigmamus,Rodentia; Laonastidae,Adult,Male,,,
NHMUK R2890,http://data.nhm.ac.uk/specimen/a3ad647b-6a6a-4bee-9de6-29ea0c2e3f15,http://dx.doi.org/10.1371/journal.pone.0062421,,478449,a3ad647b-6a6a-4bee-9de6-29ea0c2e3f15,PV R 2890,Ichthyosaurus sp.,,Folkestone,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,sp.,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Cretaceous,Early Cretaceous,Early Cretaceous
NHMUK R2890,http://data.nhm.ac.uk/specimen/a3ad647b-6a6a-4bee-9de6-29ea0c2e3f15,http://dx.doi.org/10.1371/journal.pone.0084709,,478449,a3ad647b-6a6a-4bee-9de6-29ea0c2e3f15,PV R 2890,Ichthyosaurus sp.,,Folkestone,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,sp.,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Cretaceous,Early Cretaceous,Early Cretaceous
NHMUK R36618,http://data.nhm.ac.uk/specimen/a5a6669e-2ea2-430a-9f7f-df71f13fe25b,http://dx.doi.org/10.1371/journal.pone.0034094,,2174674,a5a6669e-2ea2-430a-9f7f-df71f13fe25b,PV R 36618,Stenaulorhynchus,,Litumba,Tanzania,,PAL,Animalia,Chordata,Reptilia,Rhynchosauria,Rhynchosauridae,Stenaulorhynchus,,Animalia; Chordata; Reptilia; Rhynchosauria; Rhynchosauridae,,,Triassic,Middle Triassic,Middle Triassic
NHMUK A130,http://data.nhm.ac.uk/specimen/a5b487cb-82ca-4c22-bb3a-cb9a7cd6c172,http://dx.doi.org/10.1371/journal.pone.0049584,,1436651,a5b487cb-82ca-4c22-bb3a-cb9a7cd6c172,PV A 130,"Halcyornis toliapicus (Koenig, 1825)",,,,,PAL,,,,,,,,,,,,,
NHMUK 1890.1.30.25-27,http://data.nhm.ac.uk/specimen/a623321f-d0f9-4b3e-9bb4-73705d12a8fa,http://dx.doi.org/10.1371/journal.pone.0095296,,2292306,a623321f-d0f9-4b3e-9bb4-73705d12a8fa,1890.1.30.25-27,,,,,,ZOO,,,,,,,,,,,,,
BMNH 46013,http://data.nhm.ac.uk/specimen/0a7d9ef6-8f0e-4dc3-a288-9e755ecc4e40,http://dx.doi.org/10.1371/journal.pone.0079887,PV OR 46013,2072010,0a7d9ef6-8f0e-4dc3-a288-9e755ecc4e40,PV OR 46013,"Dacentrurus armatus (Lucas, 1902)",,Swindon,England,,PAL,Animalia,Chordata,Reptilia,Dinosauria,Stegosauridae,Dacentrurus,armatus,Animalia; Chordata; Reptilia; Dinosauria; Stegosauridae,,,Jurassic,Late Jurassic,Late Jurassic
NHMUK 2039*,http://data.nhm.ac.uk/specimen/a7e9232a-669d-4bdb-8eeb-a35e8673e020,http://dx.doi.org/10.1371/journal.pone.0031838,,1220529,a7e9232a-669d-4bdb-8eeb-a35e8673e020,PV OR 2039 *,"Thalassiodracon hawkinsi (Owen, 1838)",Figured,Street,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Plesiosauria,,Thalassiodracon,hawkinsi,Animalia; Chordata; Reptilia; Sauropterygia; Plesiosauria; Plesiosauroidea,,,Jurassic,Early Jurassic,Early Jurassic
BMNH 1998.409,http://data.nhm.ac.uk/specimen/a897f76b-c8f1-4848-98e3-3b401495e657,http://dx.doi.org/10.1371/journal.pone.0048145,,2092565,a897f76b-c8f1-4848-98e3-3b401495e657,ZD 1998.409,Laonastes aenigmamus,Paratype,,Lao People's Democratic Republic,,ZOO,,,,Rodentia,Laonastidae,Laonastes,aenigmamus,Rodentia; Laonastidae,Adult,Male,,,
BMNH M 8880,http://data.nhm.ac.uk/specimen/a89d2901-e4c0-47cf-aef4-ce458ecb98f2,http://dx.doi.org/10.1371/journal.pone.0049054,,107998,a89d2901-e4c0-47cf-aef4-ce458ecb98f2,PV M 8880,,,,,,PAL,,,,,,,,,,,,,
NHMUK 47232,http://data.nhm.ac.uk/specimen/a9159512-ad71-4933-9af4-cedf227c4450,http://dx.doi.org/10.1371/journal.pone.0062421,,100064,a9159512-ad71-4933-9af4-cedf227c4450,PV OR 47232,Ichthyosaurus sp.,,Folkestone,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,sp.,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Cretaceous,Early Cretaceous,Early Cretaceous
NHMUK 1897.5.1.209,http://data.nhm.ac.uk/specimen/a97fffce-e65c-4b78-84e2-2dcd85d7e6da,http://dx.doi.org/10.1371/journal.pone.0095296,,1619794,a97fffce-e65c-4b78-84e2-2dcd85d7e6da,1897.5.1.209,Scrupocellaria n.sp. 5 spatulata group Vieira & Spencer Jones,Holotype,"Port Phillip Heads, Australia",Australia,,ZOO,Animalia,Bryozoa,Gymnolaemata,Cheilostomata,Candidae,Scrupocellaria,n.sp. 5 spatulata group,Animalia; Bryozoa; Gymnolaemata; Cheilostomata; Candidae,,,,,
BMNH 39965,http://data.nhm.ac.uk/specimen/1a995d3f-d4c9-4ee3-a0a3-8301233f2e10,http://dx.doi.org/10.1371/journal.pone.0041767,PV OR 39965 Megalania prisca Owen 1882,1528696,1a995d3f-d4c9-4ee3-a0a3-8301233f2e10,PV OR 39965,"Megalania prisca Owen, 1882",,,Australia,,PAL,,,,,,Megalania,prisca,,,,Quaternary,Pleistocene,Pleistocene
NHMUK 1964.4.2.10,http://data.nhm.ac.uk/specimen/ab546503-902c-4635-bbaa-d58e8950e456,http://dx.doi.org/10.1371/journal.pone.0095296,,2225298,ab546503-902c-4635-bbaa-d58e8950e456,1964.4.2.10,Scrupocellaria inermis Norman,,Pacific coast of N. America,,,ZOO,,Bryozoa,,,,Scrupocellaria,inermis,Bryozoa,,,,,
BMNHUK P.25180,http://data.nhm.ac.uk/specimen/eabadc44-1bf0-446d-bcf5-6fd4ab7a513c,http://dx.doi.org/10.1371/journal.pone.0039370,PV P 25180 Macrosemimimus lennieri,1472682,eabadc44-1bf0-446d-bcf5-6fd4ab7a513c,PV P 25180,"Macrosemimimus lennieri (Sauvage, 1893)",Holotype; Holotype; Holotype,Manea Fen,United Kingdom,,PAL,Animalia,,Osteichthyes,Semionotiformes,Semionotidae,Macrosemimimus,lennieri,Animalia; Osteichthyes; Actinopteryii; Semionotiformes; Semionotidae,,,Jurassic,Late Jurassic,Late Jurassic
NHMUK R36620,http://data.nhm.ac.uk/specimen/abbc0f72-3c7c-4b7f-897d-336a252d9fb6,http://dx.doi.org/10.1371/journal.pone.0072753,,1311983,abbc0f72-3c7c-4b7f-897d-336a252d9fb6,PV R 36620,Pallisteria angustimentum,,Litumba,Tanzania,,PAL,Animalia,,Reptilia,Archosauria,Pallisteridae,Pallisteria,angustimentum,Animalia; Reptilia; Archosauria; Pallisteridae,,,Triassic,Middle Triassic,Middle Triassic
BMNH(E)1239048,http://data.nhm.ac.uk/specimen/5ad66021-5834-4897-a058-11afd4c2be8c,http://dx.doi.org/10.1371/journal.pone.0121127,Chrysoperla carnea,2373113,5ad66021-5834-4897-a058-11afd4c2be8c,BMNH(E)1239048,Chrysoperla carnea Stephens,lectotype,,,,BMNH(E),,Arthropoda,Insecta,Neuroptera,Chrysopidae,Chrysoperla,carnea,Arthropoda; Insecta; Neuroptera; Chrysopidae,,,,,
NHMUK R3177,http://data.nhm.ac.uk/specimen/ae40c0a1-0b72-4f32-babc-3ed99eb2e350,http://dx.doi.org/10.1371/journal.pone.0084709,,13864,ae40c0a1-0b72-4f32-babc-3ed99eb2e350,PV R 3177,"Brachypterygius extremus (Boulenger, 1904)",,Smallmouth Sands,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ophthalmosauridae,Brachypterygius,extremus,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Jurassic,Late Jurassic,Late Jurassic
NHMUK 36384,http://data.nhm.ac.uk/specimen/aebaeabc-40ae-4800-ae34-a18843d89f04,http://dx.doi.org/10.1371/journal.pone.0062421,,1731064,aebaeabc-40ae-4800-ae34-a18843d89f04,PV OR 36384,"Ichthyosaurus campylodon Carter, 1846",,Folkestone,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,campylodon,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Cretaceous,Early Cretaceous,Early Cretaceous
NHMUK 36384,http://data.nhm.ac.uk/specimen/aebaeabc-40ae-4800-ae34-a18843d89f04,http://dx.doi.org/10.1371/journal.pone.0084709,,1731064,aebaeabc-40ae-4800-ae34-a18843d89f04,PV OR 36384,"Ichthyosaurus campylodon Carter, 1846",,Folkestone,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,campylodon,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Cretaceous,Early Cretaceous,Early Cretaceous
NHMUK R2161,http://data.nhm.ac.uk/specimen/b0121c27-898b-42c7-ae75-65dae96c1bdd,http://dx.doi.org/10.1371/journal.pone.0031838,,480026,b0121c27-898b-42c7-ae75-65dae96c1bdd,PV R 2161,"Ophthalmosaurus icenicus Seeley, 1874",,Peterborough,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ophthalmosauridae,Ophthalmosaurus,icenicus,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Jurassic,Middle Jurassic,Late Jurassic
BMMH M 8512,http://data.nhm.ac.uk/specimen/b1d01430-0046-4650-a111-7008f9597b35,http://dx.doi.org/10.1371/journal.pone.0049054,,436190,b1d01430-0046-4650-a111-7008f9597b35,PV M 8512,,,,,,PAL,,,,,,,,,,,,,
NHMUK R4522,http://data.nhm.ac.uk/specimen/b3a223e8-6137-4eb0-acd4-fc9e835ddc45,http://dx.doi.org/10.1371/journal.pone.0031838,,1578636,b3a223e8-6137-4eb0-acd4-fc9e835ddc45,PV R 4522,Pterosauria,,Cambridge,British Isles,,PAL,,,Reptilia,Pterosauria,,,,Reptilia; Pterosauria,,,Cretaceous,Early Cretaceous,Late Cretaceous
NHMUK 1899.7.1.783,http://data.nhm.ac.uk/specimen/b44ee0e4-c6c0-469e-9a65-4462983422ce,http://dx.doi.org/10.1371/journal.pone.0095296,,1246636,b44ee0e4-c6c0-469e-9a65-4462983422ce,1899.7.1.783,Scrupocellaria ornithorhynchus Wyville Thomson,,,Australia,,ZOO,Animalia,Bryozoa,Gymnolaemata,Cheilostomata,,Scrupocellaria,ornithorhynchus,Animalia; Bryozoa; Gymnolaemata; Cheilostomata,,,,,
BMNH M 85309,http://data.nhm.ac.uk/specimen/b46ba28c-002f-4389-8b33-b9b448216c3c,http://dx.doi.org/10.1371/journal.pone.0049054,,228107,b46ba28c-002f-4389-8b33-b9b448216c3c,PV M 85309,"Apterodon langebadreae Grohé et al., 2012",Holotype,Site 6819 (Dor el Talha); Site 68.19; Dor el Talha; Gebel Coquin; Dur at Talhah,Libya,,PAL,Animalia,Chordata,Mammalia,Creodonta,Hyaenodontidae,Apterodon,langebadreae,Animalia; Chordata; Vertebrata; Mammalia; Creodonta; Hyaenodontidae,,,Paleogene,Eocene,Oligocene
BMNH 2002.8.12.3-4,http://data.nhm.ac.uk/specimen/fb4a1583-373a-4ee9-8bed-02183f5ba427,http://dx.doi.org/10.1371/journal.pone.0079155,,716043,fb4a1583-373a-4ee9-8bed-02183f5ba427,2002.8.12.3-4,"Protomicrocotyle mirabilis (MacCallum, 1917)",,"off Carrie Bow Cay, Belize",,,ZOO,,Platyhelminthes,Monogenea,,Microcotylidae,Protomicrocotyle,mirabilis,Platyhelminthes; Monogenea; Microcotylidae,adults,,,,
NHMUK 1934.5.14.436,http://data.nhm.ac.uk/specimen/b4bd80c2-dc9a-4235-97bb-411408cee87c,http://dx.doi.org/10.1371/journal.pone.0098406,two entries,702220,b4bd80c2-dc9a-4235-97bb-411408cee87c,1934.5.14.436,Goniopora minor,,,,Great Barrier Reef Expedition,ZOO,,,,,,Goniopora,minor,,,,,,
