Putative Entity,NHM Data Portal Link,Article DOI Link,Notes
BMNH 1890.6.27.5–8,http://data.nhm.ac.uk/specimen/94829669-c1ea-4a58-bd84-c474c143df82,http://dx.doi.org/10.1371/journal.pone.0037520,
BMNH M 85313,http://data.nhm.ac.uk/specimen/4499d8a9d-d4eb-40f8-b904-c199785cc5ff,http://dx.doi.org/10.1371/journal.pone.0049054,
BMNH M 85297,http://data.nhm.ac.uk/specimen/449c91ade-fe6e-48a5-8fce-97c168252552,http://dx.doi.org/10.1371/journal.pone.0049054,
NHMUK R8667,http://data.nhm.ac.uk/specimen/4a6d715a-050e-42b2-b5d8-0ab7591a3dd8,http://dx.doi.org/10.1371/journal.pone.0034094,
NHMUK R17,http://data.nhm.ac.uk/specimen/4a8ffb09-8bbc-444b-9afa-2da8d0457ac6,http://dx.doi.org/10.1371/journal.pone.0062421,
NHMUK R17,http://data.nhm.ac.uk/specimen/4a8ffb09-8bbc-444b-9afa-2da8d0457ac6,http://dx.doi.org/10.1371/journal.pone.0084709,
BMMH M 8441,http://data.nhm.ac.uk/specimen/44b5e3722-e92a-4a8a-997e-775e1823a07e,http://dx.doi.org/10.1371/journal.pone.0049054,
BMMH M 8441A,http://data.nhm.ac.uk/specimen/44b5e3722-e92a-4a8a-997e-775e1823a07e,http://dx.doi.org/10.1371/journal.pone.0049054,
BMNH M 85298,http://data.nhm.ac.uk/specimen/44cf564e8-554d-4747-8eaa-03dd1bee0fb1,http://dx.doi.org/10.1371/journal.pone.0049054,
NHMUK 1966.1.10.9,http://data.nhm.ac.uk/specimen/4f37e4fb-9b31-42f4-b95d-27ef84befab7,http://dx.doi.org/10.1371/journal.pone.0095296,
NHMUK R2336,http://data.nhm.ac.uk/specimen/52b12a93-bda5-4156-81a2-bfac061bb7d8,http://dx.doi.org/10.1371/journal.pone.0034094,
BMNH 1926.5.28.21-22,http://data.nhm.ac.uk/specimen/152fcee1-c599-4e82-a065-4d019753814f,http://dx.doi.org/10.1371/journal.pone.0115679,
NHMUK 1963.3.6.7a,http://data.nhm.ac.uk/specimen/53734471-eb9f-4476-a746-30bd93af4772,http://dx.doi.org/10.1371/journal.pone.0095296,
NHMUK 35348,http://data.nhm.ac.uk/specimen/5581790c-452c-460d-a812-bb9e38c962e8,http://dx.doi.org/10.1371/journal.pone.0084709,
NHMUK R2790,http://data.nhm.ac.uk/specimen/56741f37-9613-4212-96ce-161d7684a195,http://dx.doi.org/10.1371/journal.pone.0086864,
NHMUK 44159,http://data.nhm.ac.uk/specimen/57737e51-1f3b-47a4-89af-0a35fa9c6c66,http://dx.doi.org/10.1371/journal.pone.0062421,
NHMUK 44159a,http://data.nhm.ac.uk/specimen/57737e51-1f3b-47a4-89af-0a35fa9c6c66,http://dx.doi.org/10.1371/journal.pone.0062421,
BMNH M 85320,http://data.nhm.ac.uk/specimen/55877de10-5327-4fcb-9fb4-51b807e97e62,http://dx.doi.org/10.1371/journal.pone.0049054,
BMNH 2012.8.23.4–5,http://data.nhm.ac.uk/specimen/b59e3747-3322-4153-9277-46cd7da0adaf,http://dx.doi.org/10.1371/journal.pone.0046421,
NHMUK 1911.10.1.385,http://data.nhm.ac.uk/specimen/5a0b7d63-c26d-4961-89f7-627c19f79188,http://dx.doi.org/10.1371/journal.pone.0095296,
BMNH(E) 1239048,http://data.nhm.ac.uk/specimen/55ad66021-5834-4897-a058-11afd4c2be8c,http://dx.doi.org/10.1371/journal.pone.0121127,
NHMUK 32406,http://data.nhm.ac.uk/specimen/5adbce1b-4861-4665-8bd5-e819c4a1a3a7,http://dx.doi.org/10.1371/journal.pone.0034094,
NHMUK 32406,http://data.nhm.ac.uk/specimen/5adbce1b-4861-4665-8bd5-e819c4a1a3a7,http://dx.doi.org/10.1371/journal.pone.0062421,
NHMUK 32406,http://data.nhm.ac.uk/specimen/5adbce1b-4861-4665-8bd5-e819c4a1a3a7,http://dx.doi.org/10.1371/journal.pone.0084709,
NHMUK 1996.4.26.5,http://data.nhm.ac.uk/specimen/5bd73cc6-3628-4bbb-bfa9-f397316b6d5b,http://dx.doi.org/10.1371/journal.pone.0095296,
NHMUK 2047*,http://data.nhm.ac.uk/specimen/5c7fcb5b-c66f-4032-b20c-12efef2e48ae,http://dx.doi.org/10.1371/journal.pone.0031838,
NHMUK 2010.12.6.1,http://data.nhm.ac.uk/specimen/5d4be26e-42ec-4821-86e3-a6eec6c9ae07,http://dx.doi.org/10.1371/journal.pone.0095296,
BMNH M 8873,http://data.nhm.ac.uk/specimen/f5de5e4d-bf48-45ef-8d7b-5484f9aa78fd,http://dx.doi.org/10.1371/journal.pone.0049054,
BMNH R.8303,http://data.nhm.ac.uk/specimen/55e597c7e-8056-4fa4-8e72-213bdb6a6464,http://dx.doi.org/10.1371/journal.pone.0088905,
NHMUK 35432_5,http://data.nhm.ac.uk/specimen/639614db-7ec9-4a94-884d-7dd80859ec7a,http://dx.doi.org/10.1371/journal.pone.0034094,
BMNH M 9257,http://data.nhm.ac.uk/specimen/667033c65-667d-453c-8e69-265e640b2202,http://dx.doi.org/10.1371/journal.pone.0049054,
BMNH M.15799,http://data.nhm.ac.uk/specimen/667631c1d-a6df-4517-a070-12ef8f77617c,http://dx.doi.org/10.1371/journal.pone.0109232,
NHMUK R1923,http://data.nhm.ac.uk/specimen/686758c8-c01f-435d-984a-07c5e355f41a,http://dx.doi.org/10.1371/journal.pone.0062421,
NHMUK 1899.5.1.413,http://data.nhm.ac.uk/specimen/69f6d47a-96df-411b-86ed-405338917a9a,http://dx.doi.org/10.1371/journal.pone.0040492,
NHMUK R176,http://data.nhm.ac.uk/specimen/6ad7dbc4-7c79-4447-8e14-9e5d05673d6c,http://dx.doi.org/10.1371/journal.pone.0033170,
NHMUK R1629,http://data.nhm.ac.uk/specimen/6c31a461-809d-40ef-88de-ac1f64054749,http://dx.doi.org/10.1371/journal.pone.0045712,
BMNH 1946.9.2.34,http://data.nhm.ac.uk/specimen/66c5a88b-bea4-4195-a586-00806f682272,http://dx.doi.org/10.1371/journal.pone.0080563,
NHMUK 1968.1.18.104,http://data.nhm.ac.uk/specimen/6c786f14-5a1f-438b-a176-3d9f60d011d1,http://dx.doi.org/10.1371/journal.pone.0095296,two entries
NHMUK R4853,http://data.nhm.ac.uk/specimen/6c7d76b3-c2e0-410c-bad9-c3b8f95996ec,http://dx.doi.org/10.1371/journal.pone.0031838,
NHMUK PV R2341,http://data.nhm.ac.uk/specimen/6f3692a0-ff1c-4d29-b82a-6e54820c2ca4,http://dx.doi.org/10.1371/journal.pone.0084709,
NHMUK R2341,http://data.nhm.ac.uk/specimen/6f3692a0-ff1c-4d29-b82a-6e54820c2ca4,http://dx.doi.org/10.1371/journal.pone.0033170,
NHMUK R2341,http://data.nhm.ac.uk/specimen/6f3692a0-ff1c-4d29-b82a-6e54820c2ca4,http://dx.doi.org/10.1371/journal.pone.0049584,
NHMUK R2341,http://data.nhm.ac.uk/specimen/6f3692a0-ff1c-4d29-b82a-6e54820c2ca4,http://dx.doi.org/10.1371/journal.pone.0084709,
NHMUK R1318,http://data.nhm.ac.uk/specimen/6f3ae866-9a77-46a9-a76f-8fb5f021bc41,http://dx.doi.org/10.1371/journal.pone.0031838,
BMNH M 9257,http://data.nhm.ac.uk/specimen/67033c65-667d-453c-8e69-265e640b2202,http://dx.doi.org/10.1371/journal.pone.0049054,
NHMUK 35272,http://data.nhm.ac.uk/specimen/707025d8-00e7-4405-acde-2bb805ebee67,http://dx.doi.org/10.1371/journal.pone.0062421,
NHMUK 47265,http://data.nhm.ac.uk/specimen/712b580e-4f24-4cfc-a9ce-ead677c91fd3,http://dx.doi.org/10.1371/journal.pone.0062421,can source back to ancient Lybekker catalogue https://archive.org/stream/catalogueoffossi02bri/catalogueoffossi02bri_djvu.txt
NHMUK 47265_66*,http://data.nhm.ac.uk/specimen/712b580e-4f24-4cfc-a9ce-ead677c91fd3,http://dx.doi.org/10.1371/journal.pone.0034094,
NHMUK 47269,http://data.nhm.ac.uk/specimen/72766a6e-f9ae-4cfa-a25e-a486e8792e52,http://dx.doi.org/10.1371/journal.pone.0034094,
NHMUK 47269,http://data.nhm.ac.uk/specimen/72766a6e-f9ae-4cfa-a25e-a486e8792e52,http://dx.doi.org/10.1371/journal.pone.0062421,
BMNH M 85315,http://data.nhm.ac.uk/specimen/273019df-4252-4640-97f4-902ba8c9fc44,http://dx.doi.org/10.1371/journal.pone.0049054,
BMNH.7.7.7.3359,http://data.nhm.ac.uk/specimen/97339171-a1d8-401b-8b8d-a153c18e3241,http://dx.doi.org/10.1371/journal.pone.0061998,Myotis lucifugus
NHMUK R3741,http://data.nhm.ac.uk/specimen/73be50cc-9404-4a2c-adc6-0713e054274b,http://dx.doi.org/10.1371/journal.pone.0036745,
NHMUK R3741,http://data.nhm.ac.uk/specimen/73be50cc-9404-4a2c-adc6-0713e054274b,http://dx.doi.org/10.1371/journal.pone.0045712,
BMNH M 85317,http://data.nhm.ac.uk/specimen/773dc0d26-02e4-4889-b6b3-d3617f47300e,http://dx.doi.org/10.1371/journal.pone.0049054,
BMNH M 85304,http://data.nhm.ac.uk/specimen/74387839-ba8a-4c6c-ba46-5a535637ec44,http://dx.doi.org/10.1371/journal.pone.0049054,
BMNH 1985.11.8.48-47,http://data.nhm.ac.uk/specimen/7747315f-5b7c-4c20-ae62-0fb26c2a4c54,http://dx.doi.org/10.1371/journal.pone.0079155,actually meant 1985.11.8.45-47
BMNH M.15799,http://data.nhm.ac.uk/specimen/67631c1d-a6df-4517-a070-12ef8f77617c,http://dx.doi.org/10.1371/journal.pone.0109232,PV M 15799 Lammidhania wardi Pilgrim 1940
BMNH M 85301,http://data.nhm.ac.uk/specimen/477b9900-e0a7-442c-939f-048e3354bc14,http://dx.doi.org/10.1371/journal.pone.0049054,
NHMUK 1899.7.1.797,http://data.nhm.ac.uk/specimen/7829614c-3295-4c56-b595-6ac286587c5f,http://dx.doi.org/10.1371/journal.pone.0095296,
BMNH M 85316,http://data.nhm.ac.uk/specimen/d789f148-3393-4a48-9143-b3bbd0ed7dee,http://dx.doi.org/10.1371/journal.pone.0049054,
NHMUK R36629,http://data.nhm.ac.uk/specimen/7a594ee5-5575-4c9a-a88d-4afca03c4d74,http://dx.doi.org/10.1371/journal.pone.0062421,
NHMUK 48216,http://data.nhm.ac.uk/specimen/7ac3086c-d548-4ed1-962d-142a259fd488,http://dx.doi.org/10.1371/journal.pone.0118116,
BMNH M 85312,http://data.nhm.ac.uk/specimen/87bce8d5-1b40-46a2-9f9b-15f8bd7bddae,http://dx.doi.org/10.1371/journal.pone.0049054,
BMNH 31806,http://data.nhm.ac.uk/specimen/87d919f1-1cca-4f48-8cb3-1c1a42b35b7b,http://dx.doi.org/10.1371/journal.pone.0088905,PV OR 31806
BMNH 37001,http://data.nhm.ac.uk/specimen/57ee3bf1-0a74-4ae4-a588-ba9ea8dc5265,http://dx.doi.org/10.1371/journal.pone.0007390,"Archaeopteryx, PV OR 37001"
BMNH 37001,http://data.nhm.ac.uk/specimen/57ee3bf1-0a74-4ae4-a588-ba9ea8dc5265,http://dx.doi.org/10.1371/journal.pone.0022292,"Archaeopteryx, PV OR 37001"
BMNH 37001,http://data.nhm.ac.uk/specimen/57ee3bf1-0a74-4ae4-a588-ba9ea8dc5265,http://dx.doi.org/10.1371/journal.pone.0036664,"Archaeopteryx, PV OR 37001"
BMNH 37001,http://data.nhm.ac.uk/specimen/57ee3bf1-0a74-4ae4-a588-ba9ea8dc5265,http://dx.doi.org/10.1371/journal.pone.0113559,"Archaeopteryx, PV OR 37001"
BMNH M 9259,http://data.nhm.ac.uk/specimen/37f115c5-39cc-4d1d-994b-8a4e4fcd470f,http://dx.doi.org/10.1371/journal.pone.0049054,
NHMUK 20130091/1,http://data.nhm.ac.uk/specimen/7f996e63-0d27-4c3f-a3ea-5ad9af3a7215,http://dx.doi.org/10.1371/journal.pone.0109785,
2028*,http://data.nhm.ac.uk/specimen/821cb059-4c8c-4833-91dc-396310e19c8d,http://dx.doi.org/10.1371/journal.pone.0031838,
NHMUK R14370,http://data.nhm.ac.uk/specimen/83381d2b-565d-46d4-856a-e3f69db67332,http://dx.doi.org/10.1371/journal.pone.0062421,
NHMUK 28110,http://data.nhm.ac.uk/specimen/83c3e074-4395-4118-b50b-786a7e0153a1,http://dx.doi.org/10.1371/journal.pone.0034094,
NHMUK 2022*[14549],http://data.nhm.ac.uk/specimen/84ae068c-ef49-47ac-baa9-e7edf4adc551,http://dx.doi.org/10.1371/journal.pone.0031838,
NHMUK R1319,http://data.nhm.ac.uk/specimen/84b1d45f-f990-4a80-a940-52b146e7005e,http://dx.doi.org/10.1371/journal.pone.0031838,
